Time(s),KS_voltage(V),Pressure_voltage(V)
0,1.5215766468,0.20712352
0.001,1.5043061018,0.20712352
0.002,1.5,0.20712352
0.003,1.46979576874,0.20712352
0.004,1.5043061018,0.20712352
0.005,1.5172551651,0.20712352
0.006,1.47411725044,0.20712352
0.007,1.5,0.20712352
0.008,1.4827448349,0.20712352
0.009,1.5043061018,0.20712352
0.01,1.46979576874,0.20712352
0.011,1.47411725044,0.20712352
0.012,1.46979576874,0.20712352
0.013,1.49137241745,0.20712352
0.014,1.45684670639,0.20712352
0.015,1.47411725044,0.20712352
0.016,1.4956938982,0.20712352
0.017,1.46547428894,0.20712352
0.018,1.46979576874,0.20712352
0.019,1.44821912384,0.20712352
0.02,1.4784233532,0.20712352
0.021,1.4784233532,0.20712352
0.022,1.4870663147,0.20712352
0.023,1.46116818619,0.20712352
0.024,1.4827448349,0.20712352
0.025,1.4956938982,0.20712352
0.026,1.43959153748,0.20712352
0.027,1.46547428894,0.20712352
0.028,1.47411725044,0.20712352
0.029,1.4956938982,0.20712352
0.03,1.46116818619,0.20712352
0.031,1.46547428894,0.20712352
0.032,1.46547428894,0.20712352
0.033,1.47411725044,0.20712352
0.034,1.46547428894,0.20712352
0.035,1.45684670639,0.20712352
0.036,1.5215766468,0.20712352
0.037,1.47411725044,0.20712352
0.038,1.46979576874,0.20712352
0.039,1.45684670639,0.20712352
0.04,1.5172551651,0.20712352
0.041,1.4956938982,0.20712352
0.042,1.5,0.20712352
0.043,1.5,0.20712352
0.044,1.5043061018,0.20712352
0.045,1.5129336853,0.20712352
0.046,1.47411725044,0.20712352
0.047,1.5,0.20712352
0.048,1.5043061018,0.20712352
0.049,1.53452571106,0.20712352
0.05,1.4870663147,0.20712352
0.051,1.49137241745,0.20712352
0.052,1.5,0.20712352
0.053,1.52588274956,0.20712352
0.054,1.49137241745,0.20712352
0.055,1.5043061018,0.20712352
0.056,1.53452571106,0.20712352
0.057,1.52588274956,0.20712352
0.058,1.5172551651,0.20712352
0.059,1.5,0.20712352
0.06,1.53452571106,0.20712352
0.061,1.52588274956,0.20712352
0.062,1.52588274956,0.20712352
0.063,1.50862758255,0.20712352
0.064,1.54745940018,0.20712352
0.065,1.53452571106,0.20712352
0.066,1.5,0.20712352
0.067,1.5172551651,0.20712352
0.068,1.52588274956,0.20712352
0.069,1.54745940018,0.20712352
0.07,1.5129336853,0.20712352
0.071,1.50862758255,0.20712352
0.072,1.53020423126,0.20712352
0.073,1.55178087616,0.20712352
0.074,1.5043061018,0.20712352
0.075,1.5215766468,0.20712352
0.076,1.55178087616,0.20712352
0.077,1.5172551651,0.20712352
0.078,1.50862758255,0.20712352
0.079,1.5043061018,0.20712352
0.08,1.54315329361,0.20712352
0.081,1.53020423126,0.20712352
0.082,1.52588274956,0.20712352
0.083,1.5043061018,0.20712352
0.084,1.54315329361,0.20712352
0.085,1.53883181381,0.20712352
0.086,1.5043061018,0.20712352
0.087,1.5215766468,0.20712352
0.088,1.5129336853,0.20712352
0.089,1.53020423126,0.20712352
0.09,1.4870663147,0.20712352
0.091,1.4956938982,0.20712352
0.092,1.49137241745,0.20712352
0.093,1.5,0.20712352
0.094,1.49137241745,0.20712352
0.095,1.47411725044,0.20712352
0.096,1.53020423126,0.20712352
0.097,1.5,0.20712352
0.098,1.47411725044,0.20712352
0.099,1.45684670639,0.20712352
0.1,1.5,0.20712352
0.101,1.4827448349,0.20712352
0.102,1.4827448349,0.20712352
0.103,1.4827448349,0.20712352
0.104,1.4870663147,0.20712352
0.105,1.4827448349,0.20712352
0.106,1.43959153748,0.20712352
0.107,1.45254059982,0.20712352
0.108,1.46547428894,0.20712352
0.109,1.49137241745,0.20712352
0.11,1.44389764023,0.20712352
0.111,1.45254059982,0.20712352
0.112,1.46547428894,0.1898376
0.113,1.4784233532,0.20712352
0.114,1.43094857788,0.20712352
0.115,1.45254059982,0.20712352
0.116,1.5043061018,0.20712352
0.117,1.4784233532,0.20712352
0.118,1.47411725044,0.20712352
0.119,1.46979576874,0.20712352
0.12,1.5129336853,0.1898376
0.121,1.5043061018,0.20712352
0.122,1.4956938982,0.20712352
0.123,1.49137241745,0.20712352
0.124,1.5172551651,0.20712352
0.125,1.53020423126,0.20712352
0.126,1.47411725044,0.20712352
0.127,1.5,0.20712352
0.128,1.4956938982,0.20712352
0.129,1.5215766468,0.20712352
0.13,1.47411725044,0.20712352
0.131,1.49137241745,0.20712352
0.132,1.49137241745,0.20712352
0.133,1.5,0.20712352
0.134,1.5043061018,0.20712352
0.135,1.49137241745,0.20712352
0.136,1.55178087616,0.20712352
0.137,1.5129336853,0.20712352
0.138,1.5129336853,0.20712352
0.139,1.5,0.20712352
0.14,1.54315329361,0.20712352
0.141,1.52588274956,0.20712352
0.142,1.53020423126,0.20712352
0.143,1.52588274956,0.20712352
0.144,1.54315329361,0.20712352
0.145,1.53883181381,0.20712352
0.146,1.4784233532,0.20712352
0.147,1.50862758255,0.20712352
